,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
2156,1002157,Dark Canvas,2008,,,Drama,,,"A ruthless pimp tracks his escaped prostitute to an isolated horse ranch in Malibu Canyon, where she is attempting to start a new life as an artist. When he attempts to coerce her into ...                See full summary »",Bruce Schwartz,"     Jennifer Sommerfeld, Lou Beatty Jr., Philip Boyd, Max Trumpower",19,,https://www.imdb.com/title/tt1045593/,"https://m.media-amazon.com/images/M/MV5BOTk0MjhhZDEtZWU2MS00NDVkLTlhNTAtMDUzYTRlZGVlMWJiXkEyXkFqcGdeQXVyMjAwNzEzMw@@._V1_UY98_CR0,0,67,98_AL_.jpg"
2157,1002158,Faith,2008,,96,Comedy,,,Add a Plot,Lewis Morphew,"     Alissa Anderegg, Thomas Bluhm, Will Brill, Greg Cala",8,,https://www.imdb.com/title/tt1189889/,"https://m.media-amazon.com/images/M/MV5BMDFlZWU2NWMtNzNmMS00NjViLTk2MjUtYmM2MGVjNWIwNzhkXkEyXkFqcGdeQXVyMTIyNjgyMA@@._V1_UY98_CR4,0,67,98_AL_.jpg"
2158,1002159,The Dueling Accountant,2008,Not Rated,109,Comedy,,,"When a lonely accountant reluctantly agrees to fight a sword duel, he is thrown into a world of intrigue and romance as he faces a scheming heiress, a deadly opponent, vengeful Gypsies and secrets from the past.",Peter Bishai,"     Jeremy Fonicello, Jenifer Krater, Matt Beckham, Ronald Guttman",16,,https://www.imdb.com/title/tt1159213/,"https://m.media-amazon.com/images/M/MV5BMTQyOTk3NDA0OF5BMl5BanBnXkFtZTgwNjkyMjA2MDE@._V1_UY98_CR3,0,67,98_AL_.jpg"
2159,1002160,Against the Grain,2008,,77,Drama,,,"Jeremy seeks an actors dream of a leading role that gets far to distant as he gets nothing but the gang-banger roles. Lolita, his girlfriend, tells him to change his intimidating image. He ...                See full summary »",Tyrone LaForrest,"     Kathleen Ammermuller, Ed Aristone, Mark Arnold, Joshua Bitton",14,,https://www.imdb.com/title/tt1186633/,
2160,1002161,Jwah Da Vee,2008,,77,Drama,,,"A man and his wife travel to a remote cabin for a landmark family reunion only to dredge up too much past amidst all the hoarding. When his former best friend comes around despite warnings,...                See full summary »",Becka Thompson,"     Muriel Bonertz, Matt D'Amico, Ronan Linder, Flood Reed",,,https://www.imdb.com/title/tt7738144/,
2161,1002162,Low,2008,,112,Drama,,,"December, 1970. A retired heavyweight champion goes into hiding from a mounting gambling debt to the mob. Holed up in a remote California desert motel, he befriends a once-famous jazz ...                See full summary »",Brennan Howard,"     Rhomeyn Johnson, Robert W. Arbogast, Drew Richards, Timothy Taule",52,,https://www.imdb.com/title/tt1205595/,"https://m.media-amazon.com/images/M/MV5BMTg2NzgyMzAzN15BMl5BanBnXkFtZTcwMzUzNjQ2MQ@@._V1_UY98_CR0,0,67,98_AL_.jpg"
2162,1002163,Theft,2008,Not Rated,90,"Comedy, Romance",,,"When Guy Simms is yanked out of his mundane routine mopping floors at the gay cabaret and accused of burning down the evangelical church by the town preacher, Guy overcomes his fear of ...                See full summary »",Paul Bright,"     Matthew Burnett, Patrick Henderson, Cynthia Schiebel, David LaDuca",170,,https://www.imdb.com/title/tt1107846/,"https://m.media-amazon.com/images/M/MV5BMjEyMTQwOTM4NV5BMl5BanBnXkFtZTcwMzE5MzUxMg@@._V1_UY98_CR0,0,67,98_AL_.jpg"
2163,1002164,Mad Doctor of Zombie Island,2008,,80,"Action, Adventure, Horror",,,"From the notorious New Jersey studio that inspired the documentary ""Mail Order Murder"". An insane doctor and her army of clones enslave survivors of a meteor crash in this eye-popping, post-apocalyptical micro-budget adventure.",Gary Whitson,"     Pamela Sutch, Barbara Joyce, Debbie D, Laura Giglio",,,https://www.imdb.com/title/tt27048394/,"https://m.media-amazon.com/images/M/MV5BNzhkNmM0NjQtNzJjZi00ZTM3LWI1NWMtZjhhOTE3YzliYTA5XkEyXkFqcGdeQXVyMTUxNTk0NTU4._V1_UX67_CR0,0,67,98_AL_.jpg"
2164,1002165,Bananas in Pyjamas: The Movie,2008,G,80,"Adventure, Comedy, Family",,,"The Bananas in Pyjamas are back, and they are getting ready for adventure outside your very own home, with their friends, the teddies and Rat-in-a-Hat, they are going to master our own with an adventure you'll watch again.",,,23,,https://www.imdb.com/title/tt1600391/,"https://m.media-amazon.com/images/M/MV5BODBiMThjMjgtNTkyNy00NDI5LWJkZmEtYjA3YmNkOGZjZDI1XkEyXkFqcGdeQXVyMzI2MDEwNA@@._V1_UY98_CR2,0,67,98_AL_.jpg"
2165,1002166,The Errand of Angels,2008,PG,91,Drama,,,"A wide-eyed sister missionary arrives in Austria to begin her 18-month-long mission for the Church of Jesus Christ of Latter-day Saints. Despite having to make a few cultural adjustments, ...                See full summary »",Christian Vuissa,"     Erin Chambers, Rachel Emmers, Bettina Schwarz, Katrin Mayer",287,,https://www.imdb.com/title/tt1029285/,"https://m.media-amazon.com/images/M/MV5BMTQ2MzI3MTUyMV5BMl5BanBnXkFtZTcwMTc4MjM4MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
2166,1002167,Killing Ariel,2008,R,90,"Horror, Thriller",,,"After a female demon attacks a contentedly married man, his life turns into a nightmare of madness, lust, adultery, and cold-blooded murder.","Fred Calvert, David J. Negron Jr.","     Lindsley Allen, Suzete Belouin, Shana Betz, Michael Brainard",718,,https://www.imdb.com/title/tt0485924/,"https://m.media-amazon.com/images/M/MV5BMTQ4MTIyNzE1MF5BMl5BanBnXkFtZTcwMzQ4MzI2Mg@@._V1_UY98_CR1,0,67,98_AL_.jpg"
2167,1002168,How 2 Build a Rapper,2008,,90,Comedy,,,This DocuDramedy follows a young artist as he's put through the paces by two producers looking to answer the question: Can You Build a Rapper?,"Cetre Pegues, Lewis T. Powell","     J.P. McLean, Big Boi, Jazze Pha, Zukhan Bey",30,,https://www.imdb.com/title/tt1175500/,"https://m.media-amazon.com/images/M/MV5BYjA1YTlmYzYtNTU4My00ZTFhLWFkMDQtZWNlMTQzZmUxZDc2XkEyXkFqcGdeQXVyNjY1MzIxMQ@@._V1_UY98_CR2,0,67,98_AL_.jpg"
2168,1002169,Battle of the Monster Trucks,2008,,46,Adventure,,,"First of the 3 original, world famous Monster Truck shows to ever appear on National Television and home video. A favorite of fans young and old, see history making firsts with side-by-side...                See full summary »",,,10,,https://www.imdb.com/title/tt7257986/,"https://m.media-amazon.com/images/M/MV5BNTUyZmE5YWMtNDUzMi00Zjg2LTlhYjAtMGM2N2IyNmNmOGRmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY98_CR3,0,67,98_AL_.jpg"
2169,1002170,The Wolf at the Door,2008,Unrated,90,Drama,,,A cop's life changes when he suspects his son of murder.,Matt Detisch,"     Christopher Bucci, Tracy Lecker, Jason Merriott, Shannon Solo",16,,https://www.imdb.com/title/tt1326909/,"https://m.media-amazon.com/images/M/MV5BNDUxYzU0ZGYtOGExMi00YWEyLWE3NTgtMmZiNTVhYWJmMzRiXkEyXkFqcGdeQXVyNDYzNjU3ODM@._V1_UY98_CR2,0,67,98_AL_.jpg"
2170,1002171,PBS: Christmas with the Annie Moses Band Concert Special Made for TV,2008,,,Music,,,Add a Plot,,,,,https://www.imdb.com/title/tt4058272/,"https://m.media-amazon.com/images/M/MV5BYjQxMjNjODMtZjU5ZS00ZDdkLTlkYzktOThiMjk2NDFhMmJlXkEyXkFqcGdeQXVyOTg0MjcxMg@@._V1_UY98_CR15,0,67,98_AL_.jpg"
2171,1002172,Industrious,2008,,45,History,,,"Big machinery meets old school brawn as Industrious goes deep inside a major deepwater port to explore its 28 terminals, 600 kilometers of shoreline and nearly 35,000 workers as they ...                See full summary »",,,,,https://www.imdb.com/title/tt7262722/,"https://m.media-amazon.com/images/M/MV5BMjcwZGQ4MjAtMDcwYi00OTczLTg3OWItOGIzOTc2YmQ2NDFmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY98_CR3,0,67,98_AL_.jpg"
