,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
0,1000001,Red Surf,1989,R,104,"Action, Crime, Drama",,,"A surfer enjoys life with drug money together with his gang in 1980s California. His girlfriend is pregnant and will not be in a house with drugs and guns and is going to Portland OR. Can he quit the drugs, the gang and that last big deal?",H. Gordon Boos,"     George Clooney, Doug Savant, Dedee Pfeiffer, Philip McKeon",727,,https://www.imdb.com/title/tt0100468/,"https://m.media-amazon.com/images/M/MV5BMDY1Y2YzMzMtMzAxNC00OTNjLWJiOWYtZGM0YWM4NTdmMTMxXkEyXkFqcGdeQXVyMTIzNTI5NTM1._V1_UY98_CR3,0,67,98_AL_.jpg"
1,1000002,Buried Alive,1989,R,91,"Horror, Thriller",,,A new teacher at a facility for juvenile delinquent girls starts to suspect foul play when girls begin to inexplicably disappear one by one.,Gérard Kikoïne,"     Robert Vaughn, Donald Pleasence, Karen Lorre, John Carradine","1,067",,https://www.imdb.com/title/tt0099187/,"https://m.media-amazon.com/images/M/MV5BOTA2NjZkNWEtYzVmNy00MGJlLTkyMzYtZGU2NjAxNjAzNmUzXkEyXkFqcGdeQXVyMTA0MDM0ODY@._V1_UX67_CR0,0,67,98_AL_.jpg"
2,1000003,The Laughing Dead,1989,Not Rated,92,Horror,,,"A ragtag group of people go on an archaeological trip to Mexico to visit Mayan ruins, but get more than they bargained for, when they encounter a zealous group of Mexicans attempting to revive a deadly ancient ritual of their ancestors.",Somtow Sucharitkul,"     Joey Acedo, John Anthoni, Hank Azcona, Bruce Barlow",592,,https://www.imdb.com/title/tt0097718/,"https://m.media-amazon.com/images/M/MV5BYzBjMjEyZjUtNWYyYi00ZTQ3LTlmM2ItMTM4NGNkZjZkY2YxXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg"
3,1000004,Silk 2,1989,R,85,"Action, Thriller",,,"SYNOPSIS - Silk, the smoothest, toughest, and sexiest cop in Honolulu is hot on the trail of ruthless art smugglers who are after a priceless Asian Scroll. Silk will stop at nothing to get ...                See full summary »",Cirio H. Santiago,"     Monique Gabrielle, Peter Nelson, Jan Merlin, Maria Claire",208,,https://www.imdb.com/title/tt0098332/,"https://m.media-amazon.com/images/M/MV5BODE1MGFjM2MtMGMzOS00MzI1LWFjOGMtZjk0NTJiMTU3MzIxL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX67_CR0,0,67,98_AL_.jpg"
4,1000005,Beyond Dream's Door,1989,Not Rated,80,"Drama, Fantasy, Horror",,,Ben's nightmares come back to haunt him and his friends in this psychological/supernatural horror film.,Jay Woelfel,"     Nick Baldasare, Rick Kesler, Susan Pinsky, Norm Singer",760,,https://www.imdb.com/title/tt0096919/,"https://m.media-amazon.com/images/M/MV5BMTM3NTc1NjYzM15BMl5BanBnXkFtZTcwNjA4MjUzMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
5,1000006,Deep Blood,1989,Unrated,94,"Adventure, Horror",,,Several young men have to stop an ancient native American evil in the form of a killer shark which is attacking a small beach community.,"Raffaele Donato, Joe D'Amato","     Frank Baroni, Cort McCown, Keith Kelsch, James Camp",499,,https://www.imdb.com/title/tt0097178/,"https://m.media-amazon.com/images/M/MV5BZDcyYzgxYjktYjk0ZC00ZjcyLWEwYjEtNTJiMDZjNjJkOTJkXkEyXkFqcGdeQXVyNjM2NTM3ODA@._V1_UX67_CR0,0,67,98_AL_.jpg"
6,1000007,Beware: Children at Play,1989,R,94,"Horror, Thriller",,,A mentally-disturbed teenager kidnaps and brainwashes children into cannibalistic psychopaths - but not when the adults intervene.,Mik Cribben,"     Michael Robertson, Rich Hamilton, Robin Lilly, Lori Romero","1,332",,https://www.imdb.com/title/tt0112492/,"https://m.media-amazon.com/images/M/MV5BOWJiNmFhMWUtZGMzMS00OGJiLTkxYmItNjg5N2ZkNWQyY2M2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
7,1000008,Princess Warrior,1989,R,83,"Comedy, Romance, Sci-Fi",,,"Sisters from the planet Vulkaria teleport themselves to Earth to investigate and report back in order to prove to their mother, the planet's ruler, that they are worth of becoming Queen.",Lindsay Norgard,"     Sharon Lee Jones, Dana Fredsti, Mark Pacific, Mark Riccardi",244,,https://www.imdb.com/title/tt0098127/,"https://m.media-amazon.com/images/M/MV5BMTM5Njc3MDYwM15BMl5BanBnXkFtZTcwNjI1NTUxMQ@@._V1_UY98_CR3,0,67,98_AL_.jpg"
8,1000009,Prime Suspect,1989,,89,Thriller,,,"The only witness to a young woman's murder has a nervous breakdown, is institutionalized, and escapes, tracking down the murderer.",Bruce Kimmel,"     Robert F. Lyons, Susan Strasberg, Frank Stallone, Billy Drago",123,,https://www.imdb.com/title/tt0098125/,"https://m.media-amazon.com/images/M/MV5BNzExNDEwMGItNWZjYS00ZjhmLWI3MGQtOWM3ZTg0NDg5Yjc4XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UX67_CR0,0,67,98_AL_.jpg"
9,1000010,The Chill Factor,1989,Not Rated,86,Horror,,,"A group of snowmobilers become trapped on a lake, and hole up in an abandoned camp. What they don't know is that the camp was once used by a satanic cult for its rituals, and is still infested by demons, who begin to kill off the group.",Christopher Webster,"     Dawn Laurrie, Aaron Kjenaas, Connie Snyder, David Fields",603,,https://www.imdb.com/title/tt0106698/,"https://m.media-amazon.com/images/M/MV5BMTdkZmMwNmYtOWRmYS00ZDcxLWFlYzgtODc2YjIyZWI4OTZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
