,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
7799,1007800,The Sense of an Ending,2017,PG-13,108,"Drama, Mystery",,61        ,A man becomes haunted by his past and is presented with a mysterious legacy that causes him to re-think his current situation in life.,Ritesh Batra,"     Jim Broadbent, Charlotte Rampling, Harriet Walter, Michelle Dockery","7,018",,https://www.imdb.com/title/tt4827986/,"https://m.media-amazon.com/images/M/MV5BYzI5ZDM2NjYtNmVhMS00Y2Q4LTg5ZWUtZjUwOGNkZDJhNGY2L2ltYWdlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg"
7800,1007801,Lost Padre Mine,2017,,87,Adventure,,,"""Lost Padre Mine"" follows Wayne Braddock, a treasure hunter who, under the invitation of a member of the local clergy, arrives in El Paso to search for the missing Padre LaRue Spanish gold.",David Noble,"     Mark Vasconcellos, Stephanie Frias, Cesar Miramontes, Jorge Estrada",13,,https://www.imdb.com/title/tt4730632/,"https://m.media-amazon.com/images/M/MV5BZTI0NzIyOTEtNmMwZS00ZWE1LWFkZTMtN2YyMGIyN2Y5YzFiXkEyXkFqcGdeQXVyMjI2MjYzNjI@._V1_UX67_CR0,0,67,98_AL_.jpg"
7801,1007802,Aliens & Gufors,2017,,89,"Comedy, Family, Sci-Fi",,,Three aspiring ufologists set up a zany UFO shop (Global Unidentified Flying Object Research and Services) and unwittingly ignite the biggest UFO encounter since Roswell.,Fred Paskiewicz,"     Nick Uzarski, Ryan Thomas Jeric, Justin Do, Stephanie Einstein",104,,https://www.imdb.com/title/tt5164664/,"https://m.media-amazon.com/images/M/MV5BZDY4ZjJiZjktNTYzNi00NDUwLWI2ODItYzIzYTJhNWIxZjY1L2ltYWdlXkEyXkFqcGdeQXVyMjI0OTk0OTE@._V1_UY98_CR3,0,67,98_AL_.jpg"
7802,1007803,Breaking and Entering,2017,Not Rated,72,"Horror, Mystery, Thriller",,,A man is on the news for reportedly intruding into people's homes. This man has a thirst for blood that cannot be contained.,Daniel Barnard,"     Daniel Barnard, Thomas Ferry, Caitlyn Cole, Ariana Huerta",6,,https://www.imdb.com/title/tt6344458/,"https://m.media-amazon.com/images/M/MV5BMzE0Y2Q1ZWItMzBhNy00YTY1LTg5NGQtYmQzNzU1Zjk0N2FjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzM1NTg1MTE@._V1_UX67_CR0,0,67,98_AL_.jpg"
7803,1007804,Holed-Up,2017,,,Drama,,,The story of a famous actor who witnessed his current director assault an actress two years ago. Now he seeks retribution for this baggage of inner turmoil.,Montetré,"     Montetré, Peter Lewis, Duane Hanson, Laura Brunson",21,,https://www.imdb.com/title/tt2707842/,"https://m.media-amazon.com/images/M/MV5BNTM1NjIwODQ5M15BMl5BanBnXkFtZTcwODE2NjYxOQ@@._V1_UY98_CR2,0,67,98_AL_.jpg"
7804,1007805,Dustins Dojo Road Trip,2017,,,Comedy,,,Add a Plot,Dustin Britton,"     Dustin Britton, Ed Kent, Steve Lanham, Davif Merlin",,,https://www.imdb.com/title/tt7288728/,
7805,1007806,Zero Tolerance,2017,,,Thriller,,,"When a young teen takes his own life after years of relentless bullying, his family chooses to pursue their own justice after authorities and the school don't take action. While seeking ...                See full summary »",Joseph Forsberg,"     Yancy Butler, Madeline Carroll, Clare Kramer, Anthony Tyler Quinn",22,,https://www.imdb.com/title/tt5871320/,"https://m.media-amazon.com/images/M/MV5BMzVkYjJiNWYtNDlmMy00YTgzLTk5NWItZDBhMzI3ZjEyMTk1XkEyXkFqcGdeQXVyNDcwNTIwNzY@._V1_UX67_CR0,0,67,98_AL_.jpg"
7806,1007807,Do It or Die!,2017,PG-13,93,Drama,,,"DO IT OR DIE a feature film based on a true story about the brutal kidnapping of Palm Springs socialite and philanthropist, Elaine Chaddick in 1979.",Jorn H. Winther,"     John Callahan, Pattie Daly Caruso, Denise DuBarry, Fleet Easton",12,,https://www.imdb.com/title/tt5714546/,"https://m.media-amazon.com/images/M/MV5BZGFkMDM0N2YtODNkMi00NDQ0LTlkZDAtNjllODdjOGI3ZDc1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjU1NTc3OTA@._V1_UY98_CR15,0,67,98_AL_.jpg"
7807,1007808,Have a Nice Day,2017,,15,"Comedy, Drama",,,A miniseries that follows the lives of four strangers as they transition to life working in a call center.,Chauncey Jackson,"     Jasmine Spivey, Desmond Cosby, Endie Lee, Eran Stacia",,,https://www.imdb.com/title/tt6836812/,"https://m.media-amazon.com/images/M/MV5BNTA2MDM4YzctMzE4Mi00OGI3LThkY2YtOGIwNGZmNGJjNDQwXkEyXkFqcGdeQXVyNzAzMzA3Mjg@._V1_UY98_CR15,0,67,98_AL_.jpg"
7808,1007809,The Color of Passion,2017,,,Drama,,,The color of passion It's about a guy who wants a women to be his wife and she was just his friend but tries to force her to leave her husband and be with him but he pulls out a gun and ...                See full summary »,,,,,https://www.imdb.com/title/tt6246106/,"https://m.media-amazon.com/images/M/MV5BZWFlMTZkYzctMmJmNi00MzhjLTkzYjItYmFkMjhmMWJlZGIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjIzNTI0NjU@._V1_UY98_CR32,0,67,98_AL_.jpg"
