,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
0,1000001,Savage Weekend,1979,R,88,Horror,,,Several couples head upstate to the country to watch a boat being built. Unfortunately they are stalked by a murderer behind a ghoulish mask.,"David Paulsen, John Mason Kirby","     Christopher Allport, Jim Doerr, David Gale, Devin Goldenberg","1,704",,https://www.imdb.com/title/tt0079855/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BNDgxZmNmNjQtODU5NS00ZWRiLWEyOGItMTgwYzczMThhMjliXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
1,1000002,The Hollywood Strangler Meets the Skid Row Slasher,1979,R,72,"Crime, Drama, Horror",,,"Hollywood Strangler (""Johnathan Click"") kills young models... Skid Row Slasher kills winos ... What will happen when they meet?",Ray Dennis Steckler,"     Pierre Agostino, Carolyn Brandt, Chuck Alford, Jim Parker",521,,https://www.imdb.com/title/tt0079300/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BMjA1ODE2OTcxN15BMl5BanBnXkFtZTcwNjQ3MzYyMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg"
2,1000003,Punk Rock,1979,R,97,Drama,,,"Filmed on location at New Yorks legendary underground clubs such as Max's Kansas City and featuring original music and appearances from bands THE STILLETTOS, THE SQUIRRELS, SPICY BITS and ...                See full summary »",Carter Stevens,"     Wade Nichols, Robert Kerman, Michael W. Leighton, Jean Sanders",45,,https://www.imdb.com/title/tt4970598/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BZDVhYmU4NjAtM2Q0Mi00MTU3LWEwOWQtYWZkYzRmZDY3ODVmXkEyXkFqcGdeQXVyNDI4MDg1NzY@._V1_UY98_CR0,0,67,98_AL_.jpg"
3,1000004,A Certain Sacrifice,1979,Unrated,60,"Crime, Drama, Music",,,A street-wise teen gets herself in a series of circumstances and mishaps in her meaningless existence.,Stephen Jon Lewicki,"     Jeremy Pattnosh, Madonna, Charles Kurtz, Kate Magill",784,,https://www.imdb.com/title/tt0088896/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BOGJhM2ZkMWMtNzVkYS00NWFlLTk1ZWUtMmQ1YTllYmI4Y2E5XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_UY98_CR0,0,67,98_AL_.jpg"
4,1000005,House of Seven Belles,1979,Not Rated,92,"Drama, Horror",,,The seven sisters of the outcast LeFleur family try to survive in a post-Civil War Deep South.,Andy Milligan,"     Dolores Barcia, Peter Barcia, Elaine Boies, Hal Borske",103,,https://www.imdb.com/title/tt11383980/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BNTc5M2JiMmItZGM5Ny00NTUxLWI2NDAtOWJlMDViZGQzZDE3XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY98_CR3,0,67,98_AL_.jpg"
5,1000006,Day of the Assassin,1979,Not Rated,94,"Action, Adventure, Drama",,,"Treasure hunters from around the world race to Mexico after a Middle Eastern luxury yacht explodes, sending a Shah's fortune and mysterious document to the bottom of the ocean.","Brian Trenchard-Smith, Carlos Vasallo","     Glenn Ford, Chuck Connors, Richard Roundtree, Jorge Rivero",215,,https://www.imdb.com/title/tt0079031/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BMDJhZjZmNjktN2Q2MS00M2Q5LTgwODctNjNhZDIxM2U0NGMxXkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_UY98_CR3,0,67,98_AL_.jpg"
6,1000007,Up Yours,1979,R,87,Comedy,,,An erotic comedy smorgasbord of blackout gags inspired by goings on by the wacky tenants of an apartment hotel.,"John Hayes, Eddie Ryder","     Eddie Ryder, Michael Heit, Cindy Morgan, Rick Dillon",74,,https://www.imdb.com/title/tt0260482/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BMTYxODQ3NzYxNV5BMl5BanBnXkFtZTcwNTM1NDQzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg"
7,1000008,Charlie and the Talking Buzzard,1979,,66,Fantasy,,,"Set to the narration of a talking buzzard, Charlie moves to a new town with his family. He wants to be friends with the popular kids at his local park, but they all play football and he ...                See full summary »",Christopher Cain,"     Ron Landry, Christopher Hanks, Bruce Kimball, Mike Hanks",40,,https://www.imdb.com/title/tt0279016/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BZjA0MjAwOTUtNDkzMC00OTA1LWJhMjgtMzA0MGE3MmM5OTY5XkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UX67_CR0,0,67,98_AL_.jpg"
8,1000009,The Wild West,1979,PG,100,Western,,,The most fabulous cast of stars and action scenes are spotlighted in this Western spectacular. A feature film compilation which tells the story of the West with footage from various feature films.,Laurence Joachim,"     Ray Owens, Charles Bronson, Clint Eastwood, Steve McQueen",13,,https://www.imdb.com/title/tt10951700/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BZWFjMTcwMGYtM2NlYi00YmE0LTk4ZjgtMTVjZmYxNDA3NGVmXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UY98_CR1,0,67,98_AL_.jpg"
9,1000010,Hey! There's Naked Bodies on My TV!,1979,Not Rated,79,Comedy,,,"This episodic movie spoofs TV shows from the seventies, including ""Happy Daze,"" ""Don't Come Back Kotler,"" and ""Bernie Milner."" Candy Samples plays the mayor's wife in ""Bernie Milner.""",Mack Campbell,"     Norman Fields, Linda Gildersleeve, Tyler Reynolds, Mariwin Roberts",37,,https://www.imdb.com/title/tt1060254/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BNDIzNDI4NjQ1OV5BMl5BanBnXkFtZTcwMDE1OTM1MQ@@._V1_UY98_CR1,0,67,98_AL_.jpg"
10,1000011,A Life of Sin,1979,R,112,Drama,,,"Pablo, a Caribbean peasant and Isabel, a politician's mistress, open a brothel that becomes internationally famous. Though they gain wealth and power, the one thing that Isabel seeks continues to elude her. In HD.",Efraín López Neris,"     Miriam Colon, Raul Julia, Henry Darrow, Miguel Ángel Suárez",113,,https://www.imdb.com/title/tt0100026/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BMTc4MzczNTk5OF5BMl5BanBnXkFtZTcwNzAxNjMyMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
