,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
0,1000001,Come Out Fighting,2022,,85,"Action, Adventure, Drama",,,"Set during WWII, in this military adventure thriller, a small, and a specialized squad of U.S. Army U.S. soldiers and African American soldiers are sent on an unofficial rescue mission ...                See full summary »",Steven Luke,"     Dolph Lundgren, Michael Jai White, Tyrese Gibson, Kellan Lutz",62,,https://www.imdb.com/title/tt10788058/,"https://m.media-amazon.com/images/M/MV5BOTBjM2VmNDMtODBhMi00NTdjLTgyMDEtMjY3YTRlMjI4YjMwXkEyXkFqcGdeQXVyMDI4NjM1MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
1,1000002,Mending the Line,2022,R,122,Drama,,,A Marine wounded in Afghanistan is sent to a V.A. facility in Montana where he meets a Vietnam Vet who teaches him how to fly fish as a way of dealing with his emotional and physical trauma.,Joshua Caldwell,"     Brian Cox, Perry Mattfeld, Patricia Heaton, Sinqua Walls",26,,https://www.imdb.com/title/tt9201772/,"https://m.media-amazon.com/images/M/MV5BNGZmYzkzYWEtMTc4Ny00MGUyLWFhZjItMGU4NjI0ZWU1NDI1XkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_UX67_CR0,0,67,98_AL_.jpg"
2,1000003,Bone Cold,2022,,,Thriller,,,"An experienced Black Ops sniper attempts a nightmarish escape after a failed mission, tracked by enemy soldiers hellbent on revenge, and hunted by something sinister and monstrous, hungry and determined.",Billy Hanson,"     Trinity Jo-Li Bliss, Jonathan Stoddard, Jennifer Khoe, Elise Greene",,,https://www.imdb.com/title/tt9658288/,"https://m.media-amazon.com/images/M/MV5BNDYwOTA4ZDUtMzRhNi00OGUyLWIwZTMtODMwMDU4ZDkxMTIwXkEyXkFqcGdeQXVyMTI0NzY5NjE@._V1_UX67_CR0,0,67,98_AL_.jpg"
3,1000004,"Love, Sex & Music",2022,TV-MA,80,Drama,,,"Desperate to find success, an aspiring country singer moves to Nashville.",Will Ryder,"     Vanna Bardot, James Bartholet, Frank Bukkwyd, Dorian Del Isla",,,https://www.imdb.com/title/tt27694105/,"https://m.media-amazon.com/images/M/MV5BNzIxZDZjNTMtOTJjMS00ODk5LWI2MmUtZGRmYjhlZWFkMDM0XkEyXkFqcGdeQXVyMDAwNTYzNA@@._V1_UX67_CR0,0,67,98_AL_.jpg"
4,1000005,10 Reasons Why Men Cheat,2022,,90,Romance,,,"In the wake of a wedding catastrophe, three couples discover the meaning of commitment, while discussing what women want to know most of all when it comes to men and relationships. WHY DO MEN CHEAT?",Joseph A. Elmore Jr.,"     Claudia Jordan, LaToya Ward, Elizabeth Arends, Shakira Reedus",36,,https://www.imdb.com/title/tt17537916/,"https://m.media-amazon.com/images/M/MV5BYjVlNTZjNjAtMmE1MS00YjVjLWI0MzYtZmUyYzI1MTkxNjc4XkEyXkFqcGdeQXVyMTU3OTI0MDQ3._V1_UY98_CR1,0,67,98_AL_.jpg"
5,1000006,Terror Train 2,2022,TV-MA,88,"Horror, Mystery",,,"The remaining survivors are coerced to take a New Year's Eve redemption ride on the very same train, where a new evil awaits and the terrified passengers must once again fight to survive the ride.",Philippe Gagnon,"     Robyn Alomar, Nadine Bhabha, Nia Roam, Romy Weltman",271,,https://www.imdb.com/title/tt23854314/,"https://m.media-amazon.com/images/M/MV5BYmU5ZDg2MjItZmNiMi00NGU5LWJhOWYtYjMxZGUzOGQyN2RkXkEyXkFqcGdeQXVyNjE0MTY2NjY@._V1_UY98_CR0,0,67,98_AL_.jpg"
6,1000007,The Squad: Rise of the Chicano Squad,2022,,,Action,,,"In 1979 Houston TX. was a Boom town fantasy city, but also the Murder capital of America. Colombian Cocaine Cowboys made Houston TX a murder land. Five Mexican American detectives where ...                See full summary »",Juan C.vazquez,"     Juan C.vazquez, Robert LaSardo, Tyler Gallant, Mike Gassaway",,,https://www.imdb.com/title/tt15249688/,"https://m.media-amazon.com/images/M/MV5BMDRhYzY0NGUtNmUzMy00NWUyLWI5M2ItM2U4MmU0NjEzMmI2XkEyXkFqcGdeQXVyMTI3OTgwNjcy._V1_UY98_CR0,0,67,98_AL_.jpg"
7,1000008,The Dirty 3rd: Next Generation,2022,,,Crime,,,"Twenty years after the incarceration of his son, Street has graduated from drug kingpin to legitimate businessman when his trusted street soldier comes home from prison and his long lost grandson shows up unexpectedly in Houston.",Nahala Johnson,"     Dakarai Akil, Chico Bean, Chico Bean, Jaye Biggs",43,,https://www.imdb.com/title/tt17044102/,"https://m.media-amazon.com/images/M/MV5BODUzMThjZGMtY2I2ZS00OTMzLTg4MzktMzMxZTQxZTQzMjU2XkEyXkFqcGdeQXVyMTQ3NjM3NjU4._V1_UX67_CR0,0,67,98_AL_.jpg"
8,1000009,Dark Asset,2022,,,"Action, Thriller",,,"A charming guy attempts to pick up a woman in a bar by spinning a tale involving spies, implanted microchips and the dangerous military scientist hunting him.",Michael Winnick,"     Byron Mann, Robert Patrick, Helena Mattsson, Shani Rigsbee",5,,https://www.imdb.com/title/tt15552570/,"https://m.media-amazon.com/images/M/MV5BZTVkZDIzNjAtYjhiNC00NzQ2LThiYTMtMTYyZjcxNmU5NDA0XkEyXkFqcGdeQXVyMjA0OTc4ODQ@._V1_UY98_CR2,0,67,98_AL_.jpg"
9,1000010,Strange Love,2022,,,Comedy,,,"Deshawn (Kountry Wayne ) and Megan (Marquitta Goings) are a young married couple living in a crappy apartment. Between the holes in the walls, door off its hinges, and obnoxiously loud ...                See full summary »",Carl Anthony Payne II,"     Patrice Lovely, Carl Anthony Payne II, Erica Pinkett, Michael Anthony",63,,https://www.imdb.com/title/tt16755700/,"https://m.media-amazon.com/images/M/MV5BZTk1YWI4ZWQtODk2Zi00YTIyLTg2YzUtZTA0OTgyOTMwMmQxXkEyXkFqcGdeQXVyMTIxOTI1ODQw._V1_UY98_CR2,0,67,98_AL_.jpg"
