,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
0,1000001,When the Starlight Ends,2016,PG-13,85,"Comedy, Drama, Fantasy",,,"An eccentric writer must choose between his work and the love of his life. Looking back, he reflects on whether he has made the right decision.",Adam Sigal,"     Sam Heughan, Arabella Oz, David Arquette, Sean Patrick Flanery",525,,https://www.imdb.com/title/tt2212778/,"https://m.media-amazon.com/images/M/MV5BZmQzMDU1NTEtYzg5ZC00NDAyLThkMDEtMzI2Y2M3NWEzMTdmXkEyXkFqcGdeQXVyNDQxMjI4MTg@._V1_UX67_CR0,0,67,98_AL_.jpg"
1,1000002,BookendS,2016,,75,"Comedy, Drama, Romance",,,"While trapped at home during a hurricane, Harper finds out her husband's new friends are swingers and decides she wants to swap partners for a night of sex without fully considering the consequences.",Delavega,"     Kat Espaillat, Matthew Donaldson, Pisha Warden, Michael Collins",259,,https://www.imdb.com/title/tt4651298/,"https://m.media-amazon.com/images/M/MV5BOTAxYjRlODctOTIyOC00ZGNkLThhZjQtODRiNDI0YTQ3MDdiXkEyXkFqcGdeQXVyMjAzMzMwOTk@._V1_UY98_CR3,0,67,98_AL_.jpg"
2,1000003,EuroClub,2016,,93,Comedy,,,"Three American guys who perpetually strike out with the ladies travel to Europe and embark on an adventure through the continent filled with drinking, dancing, and partying while dodging ...                See full summary »",Ali Zamani,"     Egzonita Ala, Iman Amity, Liliana Arriaga, Jessica Bach",177,,https://www.imdb.com/title/tt5314638/,"https://m.media-amazon.com/images/M/MV5BMDAyYzZmMWUtZjMxZS00M2Q4LWE4MjQtMTU5NTQ1NmVjOTg3XkEyXkFqcGdeQXVyNTAyMjI0OA@@._V1_UY98_CR1,0,67,98_AL_.jpg"
3,1000004,Boy Bye,2016,,83,"Drama, Romance",,,"Veronica Love seems to have it all...she's smart, sassy and sexy and has a career as one of the most successful real estate entrepreneurs in California. Affectionately known as Love by her ...                See full summary »",Chris Stokes,"     Wendy Raquel Robinson, Ross Fleming, Tammy Townsend, Shondrella Avery",426,,https://www.imdb.com/title/tt6283780/,"https://m.media-amazon.com/images/M/MV5BMDA1ZGJhNjAtMjRiNC00ZmU5LWI1YjItNDY1YmM4YzY1ZDhhXkEyXkFqcGdeQXVyMjQzNzk4OTg@._V1_UX67_CR0,0,67,98_AL_.jpg"
4,1000005,Insane,2016,TV-MA,90,Horror,,,"Based on a terrifying series of events, A manifestation of evil that begins to engulf the life of a young couple who just moved into a mansion. Unable to deny the demonic presence any ...                See full summary »",Massimiliano Cerchi,"     Greg Maness, Terry G. Reed, Vincent Rivera, Marcella Rodriguez",195,,https://www.imdb.com/title/tt4919766/,"https://m.media-amazon.com/images/M/MV5BOWQ3YmQ5MDAtNTA4Zi00N2RkLWE3NmItNTdhYjFlZDQzOTM3XkEyXkFqcGdeQXVyMzUxMDA4MDE@._V1_UY98_CR0,0,67,98_AL_.jpg"
5,1000006,Paradise Club,2016,R,93,"Drama, History",,,"During the height of the social revolution, a young dancer searches for salvation when she chooses to leave paradise.",Carolyn Cavallero,"     Elizabeth Rice, Eric Roberts, Evan Williams, Nicole Arianna Fox",83,,https://www.imdb.com/title/tt2540136/,"https://m.media-amazon.com/images/M/MV5BMjA2NzQ3OTk1NV5BMl5BanBnXkFtZTgwMTY4NDgwNzE@._V1_UY98_CR6,0,67,98_AL_.jpg"
6,1000007,Firebringer,2016,,134,"Comedy, History, Musical",,,"Meet Jemilla and her tribe of stone-age pals. Every day, they work hard collecting nuts and berries. Every night, they take cover in their cave, hiding from the most fearsome predator alive...                See full summary »","Julia Albain, Nick Lang","     Lauren Lopez, Meredith Stepien, Denise Donovan, Lauren Walker",474,,https://www.imdb.com/title/tt6395628/,"https://m.media-amazon.com/images/M/MV5BZTY1NzkzMWYtYjZhNS00YTBhLTgwZjEtMGU1ZmNhOThkYzNjXkEyXkFqcGdeQXVyMTA4NDM3MjQy._V1_UX67_CR0,0,67,98_AL_.jpg"
7,1000008,Lucifer,2016,,,"Horror, Thriller",,,"A young caretaker believes her family is being tormented by the devil, after she agrees to write the chilling story of a patient haunted by the relentless demonic being.",Tiffany Castro,"     Ryan Kelley, Jessica Morris, Abigail Zoe Lewis, Peter Murnik",66,,https://www.imdb.com/title/tt5108516/,"https://m.media-amazon.com/images/M/MV5BYzY4MDdlNzEtOGFkNC00YWU5LWI4NDctYTMwMmFjNGY2MmYxXkEyXkFqcGdeQXVyMTU3NDEyMDQ@._V1_UY98_CR2,0,67,98_AL_.jpg"
8,1000009,Star Trek: Captain Pike,2016,,45,"Action, Adventure, Sci-Fi",,,Tells a pre-Kirk story about what happened on Rigel VII prior to The Cage episode of the original Star Trek series. This is the story of Captain Pike when he first takes command of the Enterprise and his first mission aboard her.,Todd Shawn,"     Eric Roberts, Linda Park, Bruce Davison, Ray Wise",52,,https://www.imdb.com/title/tt4669408/,"https://m.media-amazon.com/images/M/MV5BZDk5MzY1MjgtNDgwOS00OWI1LWExNzEtYjNmZGM5NmNjOTBmXkEyXkFqcGdeQXVyNTUzNjcwOTM@._V1_UX67_CR0,0,67,98_AL_.jpg"
9,1000010,LAPD African Cops,2016,,,Comedy,,,Add a Plot,Pascal Atuma,"     Pascal Atuma, Oscar Atuma, Tonya Williams, Justine Herron",,,https://www.imdb.com/title/tt3776640/,"https://m.media-amazon.com/images/M/MV5BNzk3MThhYmMtZDdkMy00MmU1LWE2MGItNDk3ZTM2M2UyYzg3XkEyXkFqcGdeQXVyOTUzOTU3OA@@._V1_UY98_CR3,0,67,98_AL_.jpg"
