,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
0,1000001,Showgirls 2: Penny's from Heaven,2011,Not Rated,145,"Comedy, Drama, Thriller",,,"Penny Slot, a stripper from Las Vegas, tries to become a star dancer on a dance television show.",Rena Riffel,"     Rena Riffel, Glenn Plummer, Greg Travis, Dewey Weber",694,,https://www.imdb.com/title/tt1693110/,"https://m.media-amazon.com/images/M/MV5BMTcyNTc1OTY4Ml5BMl5BanBnXkFtZTgwMDY3NDcxMDE@._V1_UY98_CR1,0,67,98_AL_.jpg"
1,1000002,Fool's Paradise,2011,R,46,"Comedy, Drama, Romance",,,"A womanizing man falls in love with the woman of his dreams, only to find that his past has caught up with him.",Mac Crutcher,"     Eric Petrilla, Kiley Blamire, Wayne Bauer, Debra Lynn Hull",14,,https://www.imdb.com/title/tt1866966/,"https://m.media-amazon.com/images/M/MV5BODk3MDA4N2ItMjNiOC00ZmNmLTk2YzgtMzQ2ODE0M2JiNDEyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY98_CR3,0,67,98_AL_.jpg"
2,1000003,Garden of Hedon,2011,,119,"Horror, Mystery",,,"Anything goes in the Garden of Hedon. Even murder. ""Fresh and Exciting"" says Ain't It Cool News. ""A Twisty Thrillers"" says Night of the Living Podcast. ""a genre-bending journey into debauchery and murder"" says Horrortalk.",Kevin Kangas,"     Richard Cutting, Danielle Lozeau, John C. Bailey, Beau Peregino",205,,https://www.imdb.com/title/tt1737794/,"https://m.media-amazon.com/images/M/MV5BMjEyOTQ3Mjk0MV5BMl5BanBnXkFtZTcwNjU5MTQxOA@@._V1_UX67_CR0,0,67,98_AL_.jpg"
3,1000004,Love on a Leash,2011,Not Rated,90,"Comedy, Drama, Fantasy",,,"Love takes a furry twist in this slice of romantic comedy. A young woman falls for a stray dog with a secret: by night, it becomes a man. Follow the journey of the golden retriever and the friend who gives him a home.",Fen Tian,"     Gloria Winship Ayon, Shane Ayon, Jana Camp, Stephen Kramer Glickman","7,838",,https://www.imdb.com/title/tt2185022/,"https://m.media-amazon.com/images/M/MV5BZTJiYjU0ZGQtODg1MS00ZDAwLTljZDctYjdmZDFjMmVjNDFlXkEyXkFqcGdeQXVyMTE5NDkxMA@@._V1_UY98_CR1,0,67,98_AL_.jpg"
4,1000005,The Zone,2011,Not Rated,70,Drama,,,A mysterious visitor spends the night at an apartment belonging to a young engaged couple and their friend.,Joe Swanberg,"     Sophia Takal, Lawrence Michael Levine, Kate Lyn Sheil, Kentucker Audley",280,,https://www.imdb.com/title/tt2160413/,"https://m.media-amazon.com/images/M/MV5BZTczYzliMGMtMDU3MC00MzljLTkzNTQtNzdiYjE3N2NhZmU5XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY98_CR0,0,67,98_AL_.jpg"
5,1000006,Hollywood Sex Wars,2011,Not Rated,96,Comedy,,,"The adventures of three friends as they struggle and eventually learn how to dress better, talk smoother, and add a lot more women to their ""weekly rotation"" in the Hollywood dating scene.",Paul Sapiano,"     Mario Diaz, Eli Jane, Jenae Altschwager, Dominique Purdy","4,550",,https://www.imdb.com/title/tt1764366/,"https://m.media-amazon.com/images/M/MV5BMTYzMjU4MzMwMl5BMl5BanBnXkFtZTcwNjYwMDc2Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg"
6,1000007,The Pretty Boys,2011,Not Rated,102,Action,,,"A glam rock band on the verge of finishing their new album. The lead guitarist's strung out on heroin, the singer's new boyfriend is the kid supplying drugs from the record company and the rest of the band's quit, disgusted.",Everett Lewis,"     Leonora Anzaldua, Cameron Bass-Jackson, Josh Beren, Ellen Bienenfeld",128,,https://www.imdb.com/title/tt2356234/,"https://m.media-amazon.com/images/M/MV5BMTkxNDk5ODU0M15BMl5BanBnXkFtZTcwMTc0ODU1OA@@._V1_UY98_CR2,0,67,98_AL_.jpg"
7,1000008,Boy with Blue,2011,,94,"Drama, Family",,,Blind tragedy strikes the Orton family but a painful revelation opens their eyes to redemption.,David Liddell Thorpe,"     David H. Stevens, Kymberly Mellen, Ben Isaacs, Heidi Smith",18,,https://www.imdb.com/title/tt1961211/,"https://m.media-amazon.com/images/M/MV5BNDU5MDEzMjk2M15BMl5BanBnXkFtZTcwMDA0MTI5NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
8,1000009,20 Year Old Virgins,2011,Not Rated,97,Comedy,,,"A coming-of-age story about two dim-witted 20-year-old roommates, Gene & Eugene, and their quest to lose their virginity. Their new plans hit a few snags when they must deal with their ...                See full summary »",Jordan F. Ghanma,"     Dawson Montoya, Albert J Leon, Gary Nohealii, Ramez Alkhoury",741,,https://www.imdb.com/title/tt2040245/,"https://m.media-amazon.com/images/M/MV5BNTUxMTRlOTAtMGViNi00NjY3LThiYjctODczNTM1YTRlMDkzXkEyXkFqcGdeQXVyMjIyNDIwOTQ@._V1_UY98_CR1,0,67,98_AL_.jpg"
9,1000010,Villa Vevrier,2011,,,Romance,,,Add a Plot,Chloe Vevrier,"     Lorna Morgan, Chloe Vevrier",14,,https://www.imdb.com/title/tt2380317/,"https://m.media-amazon.com/images/M/MV5BN2QwNzhiNGQtMzZlMi00NWFlLThjNTItZjE5ZWFiZjZlYjU0XkEyXkFqcGdeQXVyNzgzNzIwNjU@._V1_UY98_CR6,0,67,98_AL_.jpg"
